ID,gender,feduc,peducd,meduc,meducd,educ,educd,educsubj,score,salary9606,salary1,date1,salary2,date2,salary3,date3,salary4,date4,salary5,date5,salarynow,jobprotection,jobeduc,cpn2014
5949,女,三專,私立,一般大學,公立,一般大學,公立一般大學,人文及藝術領域,,0,,10008,,10101,34000,10107,41000,10112,41000,10208,41000,2,大學,1
5950,男,國（初）中,公立,高中,,高職,,,,27000,27000,9611,,,,,,,,,39000,4,高中(職),1
5959,男,,,,,碩士,私立一般大學,服務領域,50,8000,8000,9606,,9609,,9701,,9702,0,9807,9500,4,高中(職),1
5960,女,,,二專,,碩士,公立科技大學,工程、製造及營造領域,,6000,6000,9910,,10006,,10206,60000,10209,,,61000,4,碩士,1
5979,男,五專,公立,高職,公立,技術學院或科技大學,公立科技大學,工程、製造及營造領域,,12500,12500,9796,22000,10002,30000,10102,,10112,,10211,22000,5,大學,1
5980,女,高中,私立,國（初）中,私立,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,40000,40000,10006,,,,,,,,,45000,5,專科,1
5984,男,碩士,公立,技術學院或科技大學,公立,碩士,公立一般大學,工程、製造及營造領域,47,0,,9707,,9709,0,9807,,9809,,,,4,專科,1
5990,女,國（初）中,公立,,,碩士,公立一般大學,社會科學、商業及法律領域,48,7200,7200,9611,,9702,10560,9711,,9808,0,9909,6000,3,大學,1
5991,女,小學,公立,小學,公立,一般大學,私立一般大學,社會科學、商業及法律領域,,6800,6800,9805,,9811,16000,9907,,9908,16000,10007,35000,4,大學,1
5993,女,國（初）中,,,,技術學院或科技大學,私立科技大學,人文及藝術領域,,30000,30000,10006,20000,10302,22000,10306,,,,,22000,4,高中(職),1
5994,女,碩士,公立,高職,,一般大學,公立一般大學,人文及藝術領域,57,43000,43000,10109,54000,10308,,,,,,,54000,5,大學,1
5996,女,一般大學,公立,一般大學,公立,一般大學,公立一般大學,人文及藝術領域,,60000,60000,10008,,,,,,,,,60000,5,大學,1
5998,女,一般大學,私立,碩士,私立,一般大學,私立一般大學,社會科學、商業及法律領域,,10000,10000,10006,30000,10205,,,,,,,35000,5,大學,1
6001,女,高中,,高職,私立,一般大學,私立一般大學,科學領域,,16000,17000,9601,,9602,16000,9707,,9709,11000,9903,24000,3,高中(職),1
6004,女,高職,,高職,,技術學院或科技大學,私立科技大學,醫藥衛生及社福領域,,18000,18000,10009,19000,10108,19000,10209,,,,,19000,2,高中(職),1
6006,女,小學,公立,小學,,技術學院或科技大學,私立科技大學,工程、製造及營造領域,35,0,21000,9407,,10103,17600,10106,30000,10208,,,30000,4,大學,1
6015,女,高中,,自修《A8》,,技術學院或科技大學,公立技職學院,科學領域,,7000,7000,9709,,9803,22000,9807,,9809,25000,10007,28000,5,大學,1
6016,女,高職,私立,國（初）中,公立,一般大學,私立一般大學,社會科學、商業及法律領域,51,25000,25000,10011,,,,,,,,,27000,4,專科,1
